timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2026/08/15 03:44:55.080, 98 %, 94711 MiB, 408.96 W, 57, 2392 MHz
2026/08/15 03:45:00.080, 98 %, 94711 MiB, 426.82 W, 58, 2392 MHz
2026/08/15 03:45:05.081, 98 %, 94711 MiB, 322.23 W, 54, 2422 MHz
2026/08/15 03:45:10.081, 0 %, 1699 MiB, 91.77 W, 49, 2422 MHz
2026/08/15 03:45:15.082, 0 %, 0 MiB, 87.89 W, 46, 2422 MHz
2026/08/15 03:45:20.082, 0 %, 0 MiB, 50.67 W, 42, 180 MHz
2026/08/15 03:45:25.083, 0 %, 3 MiB, 34.78 W, 40, 180 MHz
2026/08/15 03:45:30.084, 0 %, 3 MiB, 32.30 W, 39, 180 MHz
2026/08/15 03:45:35.084, 0 %, 3 MiB, 32.55 W, 37, 180 MHz
2026/08/15 03:45:40.085, 0 %, 1583 MiB, 88.73 W, 38, 2340 MHz
2026/08/15 03:45:45.086, 12 %, 31451 MiB, 92.85 W, 38, 2340 MHz
2026/08/15 03:45:50.086, 20 %, 85223 MiB, 172.51 W, 48, 2347 MHz
2026/08/15 03:45:55.087, 5 %, 85499 MiB, 209.32 W, 44, 2295 MHz
2026/08/15 03:46:00.087, 19 %, 85751 MiB, 116.82 W, 40, 2325 MHz
2026/08/15 03:46:05.088, 23 %, 85969 MiB, 176.51 W, 41, 2310 MHz
2026/08/15 03:46:10.088, 0 %, 87029 MiB, 91.87 W, 39, 2340 MHz
2026/08/15 03:46:15.089, 97 %, 87397 MiB, 316.27 W, 44, 2422 MHz
2026/08/15 03:46:20.090, 97 %, 87397 MiB, 315.69 W, 45, 2422 MHz
2026/08/15 03:46:25.090, 97 %, 87541 MiB, 309.47 W, 46, 2415 MHz
2026/08/15 03:46:30.091, 97 %, 87541 MiB, 312.95 W, 47, 2422 MHz
2026/08/15 03:46:35.091, 97 %, 87541 MiB, 313.69 W, 48, 2422 MHz
2026/08/15 03:46:40.092, 97 %, 87541 MiB, 314.58 W, 48, 2422 MHz
2026/08/15 03:46:45.092, 97 %, 87541 MiB, 314.82 W, 48, 2422 MHz
2026/08/15 03:46:50.093, 97 %, 87541 MiB, 315.08 W, 49, 2422 MHz
2026/08/15 03:46:55.093, 97 %, 87541 MiB, 312.37 W, 49, 2422 MHz
2026/08/15 03:47:00.094, 97 %, 87541 MiB, 315.70 W, 50, 2422 MHz
2026/08/15 03:47:05.094, 97 %, 87541 MiB, 317.27 W, 50, 2422 MHz
2026/08/15 03:47:10.095, 97 %, 87541 MiB, 316.76 W, 50, 2422 MHz
2026/08/15 03:47:15.095, 97 %, 87541 MiB, 317.52 W, 50, 2422 MHz
2026/08/15 03:47:20.096, 97 %, 87541 MiB, 317.48 W, 50, 2422 MHz
2026/08/15 03:47:25.097, 97 %, 87541 MiB, 317.80 W, 50, 2422 MHz
2026/08/15 03:47:30.097, 97 %, 87541 MiB, 317.58 W, 50, 2422 MHz
2026/08/15 03:47:35.098, 98 %, 89705 MiB, 391.32 W, 53, 2415 MHz
2026/08/15 03:47:40.098, 11 %, 89705 MiB, 356.43 W, 53, 2415 MHz
2026/08/15 03:47:45.099, 98 %, 89705 MiB, 394.06 W, 54, 2407 MHz
2026/08/15 03:47:50.099, 98 %, 91145 MiB, 460.30 W, 57, 2392 MHz
2026/08/15 03:47:55.100, 98 %, 91145 MiB, 459.61 W, 58, 2385 MHz
2026/08/15 03:48:00.100, 98 %, 93305 MiB, 461.96 W, 60, 2392 MHz
2026/08/15 03:48:05.101, 98 %, 93305 MiB, 462.76 W, 61, 2385 MHz
2026/08/15 03:48:10.101, 97 %, 93305 MiB, 393.84 W, 57, 2415 MHz
2026/08/15 03:48:15.102, 0 %, 1699 MiB, 117.38 W, 50, 2422 MHz
2026/08/15 03:48:20.102, 0 %, 0 MiB, 90.07 W, 47, 2422 MHz
2026/08/15 03:48:25.103, 0 %, 0 MiB, 51.75 W, 44, 180 MHz
2026/08/15 03:48:30.103, 0 %, 0 MiB, 33.71 W, 41, 180 MHz
2026/08/15 03:48:35.104, 0 %, 3 MiB, 35.26 W, 39, 172 MHz
2026/08/15 03:48:40.105, 0 %, 3 MiB, 33.82 W, 38, 180 MHz
2026/08/15 03:48:45.105, 0 %, 1583 MiB, 88.93 W, 39, 2340 MHz
2026/08/15 03:48:50.106, 10 %, 31451 MiB, 92.45 W, 38, 2340 MHz
2026/08/15 03:48:55.106, 40 %, 87677 MiB, 96.27 W, 38, 2340 MHz
2026/08/15 03:49:00.107, 11 %, 85415 MiB, 243.81 W, 45, 2355 MHz
2026/08/15 03:49:05.107, 28 %, 85655 MiB, 165.06 W, 41, 2317 MHz
2026/08/15 03:49:10.108, 31 %, 85783 MiB, 169.72 W, 43, 2295 MHz
2026/08/15 03:49:15.108, 19 %, 86313 MiB, 108.30 W, 40, 2332 MHz
2026/08/15 03:49:20.109, 38 %, 87199 MiB, 163.96 W, 41, 2332 MHz
2026/08/15 03:49:25.109, 97 %, 87199 MiB, 310.99 W, 45, 2415 MHz
2026/08/15 03:49:30.110, 97 %, 87199 MiB, 301.51 W, 45, 2422 MHz
2026/08/15 03:49:35.110, 98 %, 87343 MiB, 302.06 W, 46, 2422 MHz
2026/08/15 03:49:40.111, 97 %, 87343 MiB, 306.00 W, 47, 2422 MHz
2026/08/15 03:49:45.111, 97 %, 87343 MiB, 306.64 W, 47, 2422 MHz
2026/08/15 03:49:50.112, 98 %, 87343 MiB, 307.02 W, 48, 2422 MHz
2026/08/15 03:49:55.112, 98 %, 87343 MiB, 306.75 W, 48, 2422 MHz
2026/08/15 03:50:00.113, 97 %, 87343 MiB, 307.82 W, 48, 2422 MHz
2026/08/15 03:50:05.113, 97 %, 87343 MiB, 307.94 W, 49, 2422 MHz
2026/08/15 03:50:10.114, 97 %, 87343 MiB, 307.73 W, 49, 2422 MHz
2026/08/15 03:50:15.114, 97 %, 87343 MiB, 308.86 W, 49, 2422 MHz
2026/08/15 03:50:20.115, 97 %, 87343 MiB, 304.11 W, 49, 2422 MHz
2026/08/15 03:50:25.115, 75 %, 87343 MiB, 303.43 W, 49, 2422 MHz
2026/08/15 03:50:30.116, 97 %, 87343 MiB, 309.38 W, 49, 2422 MHz
2026/08/15 03:50:35.116, 98 %, 87343 MiB, 309.79 W, 50, 2422 MHz
2026/08/15 03:50:40.117, 97 %, 87343 MiB, 309.61 W, 50, 2422 MHz
2026/08/15 03:50:45.119, 97 %, 87343 MiB, 309.64 W, 50, 2422 MHz
2026/08/15 03:50:50.119, 97 %, 89505 MiB, 387.71 W, 52, 2415 MHz
2026/08/15 03:50:55.120, 97 %, 89505 MiB, 390.45 W, 54, 2415 MHz
2026/08/15 03:51:00.120, 97 %, 89505 MiB, 390.99 W, 54, 2415 MHz
2026/08/15 03:51:05.121, 98 %, 89507 MiB, 268.57 W, 51, 2422 MHz
2026/08/15 03:51:10.121, 97 %, 89507 MiB, 423.27 W, 56, 2392 MHz
2026/08/15 03:51:15.122, 93 %, 89507 MiB, 399.10 W, 56, 2400 MHz
2026/08/15 03:51:20.122, 98 %, 89507 MiB, 425.12 W, 57, 2392 MHz
2026/08/15 03:51:25.123, 97 %, 89507 MiB, 411.80 W, 58, 2392 MHz
2026/08/15 03:51:30.123, 97 %, 89507 MiB, 322.55 W, 54, 2422 MHz
2026/08/15 03:51:35.124, 0 %, 1699 MiB, 87.16 W, 47, 2422 MHz
2026/08/15 03:51:40.124, 0 %, 0 MiB, 51.70 W, 44, 262 MHz
2026/08/15 03:51:45.125, 0 %, 0 MiB, 32.78 W, 41, 180 MHz
2026/08/15 03:51:50.126, 0 %, 3 MiB, 35.01 W, 39, 180 MHz
2026/08/15 03:51:55.126, 0 %, 3 MiB, 32.05 W, 38, 180 MHz
2026/08/15 03:52:00.127, 0 %, 1583 MiB, 88.03 W, 38, 2340 MHz
2026/08/15 03:52:05.127, 15 %, 31451 MiB, 92.92 W, 38, 2340 MHz
2026/08/15 03:52:10.128, 0 %, 84653 MiB, 96.57 W, 38, 2340 MHz
2026/08/15 03:52:15.128, 43 %, 85447 MiB, 221.72 W, 41, 2362 MHz
2026/08/15 03:52:20.129, 16 %, 85693 MiB, 156.79 W, 41, 2325 MHz
2026/08/15 03:52:25.129, 20 %, 85867 MiB, 217.74 W, 43, 2302 MHz
2026/08/15 03:52:30.130, 0 %, 87009 MiB, 124.67 W, 39, 2340 MHz
2026/08/15 03:52:35.130, 97 %, 87377 MiB, 204.87 W, 43, 2317 MHz
2026/08/15 03:52:40.131, 97 %, 87377 MiB, 315.85 W, 45, 2422 MHz
2026/08/15 03:52:45.131, 97 %, 87377 MiB, 312.51 W, 45, 2422 MHz
2026/08/15 03:52:50.132, 97 %, 87521 MiB, 312.40 W, 47, 2422 MHz
2026/08/15 03:52:55.132, 97 %, 87521 MiB, 313.01 W, 47, 2422 MHz
2026/08/15 03:53:00.133, 97 %, 87521 MiB, 311.33 W, 48, 2422 MHz
2026/08/15 03:53:05.133, 97 %, 87521 MiB, 314.18 W, 48, 2422 MHz
2026/08/15 03:53:10.134, 96 %, 87521 MiB, 314.75 W, 48, 2422 MHz
2026/08/15 03:53:15.134, 97 %, 87521 MiB, 315.07 W, 49, 2422 MHz
2026/08/15 03:53:20.135, 97 %, 87521 MiB, 315.42 W, 49, 2422 MHz
2026/08/15 03:53:25.135, 97 %, 87521 MiB, 316.23 W, 49, 2422 MHz
2026/08/15 03:53:30.136, 97 %, 87521 MiB, 311.45 W, 49, 2422 MHz
2026/08/15 03:53:35.137, 97 %, 87521 MiB, 310.11 W, 50, 2422 MHz
2026/08/15 03:53:40.137, 97 %, 87521 MiB, 310.48 W, 49, 2422 MHz
2026/08/15 03:53:45.138, 97 %, 87521 MiB, 317.04 W, 50, 2422 MHz
2026/08/15 03:53:50.138, 97 %, 87521 MiB, 316.85 W, 50, 2422 MHz
2026/08/15 03:53:55.139, 97 %, 87521 MiB, 317.17 W, 50, 2422 MHz
2026/08/15 03:54:00.139, 97 %, 89685 MiB, 391.08 W, 53, 2415 MHz
2026/08/15 03:54:05.140, 97 %, 89685 MiB, 377.81 W, 54, 2415 MHz
