timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2026/08/15 01:26:51.295, 98 %, 92255 MiB, 457.91 W, 57, 2385 MHz
2026/08/15 01:26:56.296, 98 %, 92255 MiB, 459.58 W, 57, 2385 MHz
2026/08/15 01:27:01.297, 99 %, 92255 MiB, 460.64 W, 58, 2385 MHz
2026/08/15 01:27:06.297, 98 %, 92255 MiB, 437.76 W, 58, 2392 MHz
2026/08/15 01:27:11.298, 98 %, 92255 MiB, 392.17 W, 57, 2415 MHz
2026/08/15 01:27:16.298, 0 %, 1699 MiB, 88.60 W, 48, 2422 MHz
2026/08/15 01:27:21.299, 0 %, 0 MiB, 52.55 W, 45, 412 MHz
2026/08/15 01:27:26.299, 0 %, 0 MiB, 37.69 W, 42, 180 MHz
2026/08/15 01:27:31.300, 0 %, 3 MiB, 35.30 W, 40, 180 MHz
2026/08/15 01:27:36.301, 0 %, 3 MiB, 32.10 W, 38, 180 MHz
2026/08/15 01:27:41.301, 0 %, 1583 MiB, 89.98 W, 38, 2332 MHz
2026/08/15 01:27:46.302, 0 %, 2301 MiB, 90.58 W, 38, 2340 MHz
2026/08/15 01:27:51.302, 13 %, 31451 MiB, 92.58 W, 38, 2332 MHz
2026/08/15 01:27:56.303, 100 %, 89071 MiB, 417.14 W, 52, 2415 MHz
2026/08/15 01:28:01.303, 100 %, 89093 MiB, 371.35 W, 46, 2422 MHz
2026/08/15 01:28:06.304, 100 %, 89119 MiB, 447.48 W, 57, 2415 MHz
2026/08/15 01:28:11.305, 100 %, 89169 MiB, 460.12 W, 59, 2415 MHz
2026/08/15 01:28:16.305, 58 %, 89259 MiB, 450.34 W, 60, 2377 MHz
2026/08/15 01:28:21.306, 42 %, 89525 MiB, 187.99 W, 47, 2407 MHz
2026/08/15 01:28:26.306, 21 %, 89767 MiB, 129.73 W, 45, 2415 MHz
