timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz]
2026/08/15 02:26:56.226, 98 %, 92839 MiB, 319.78 W, 54, 2422 MHz
2026/08/15 02:27:01.227, 0 %, 1699 MiB, 85.25 W, 47, 2430 MHz
2026/08/15 02:27:06.228, 0 %, 0 MiB, 51.41 W, 44, 255 MHz
2026/08/15 02:27:11.228, 0 %, 0 MiB, 33.43 W, 42, 180 MHz
2026/08/15 02:27:16.229, 0 %, 3 MiB, 35.87 W, 40, 180 MHz
2026/08/15 02:27:21.229, 0 %, 3 MiB, 32.46 W, 38, 180 MHz
2026/08/15 02:27:26.230, 0 %, 1583 MiB, 86.54 W, 39, 2332 MHz
2026/08/15 02:27:31.230, 11 %, 31451 MiB, 89.40 W, 38, 2332 MHz
2026/08/15 02:27:36.231, 11 %, 84397 MiB, 94.17 W, 38, 2332 MHz
2026/08/15 02:27:41.231, 50 %, 85411 MiB, 226.49 W, 45, 2332 MHz
2026/08/15 02:27:46.232, 26 %, 85653 MiB, 163.78 W, 42, 2302 MHz
2026/08/15 02:27:51.232, 21 %, 85799 MiB, 149.15 W, 44, 2287 MHz
2026/08/15 02:27:56.233, 27 %, 86467 MiB, 118.07 W, 42, 2325 MHz
2026/08/15 02:28:01.233, 97 %, 87397 MiB, 196.24 W, 43, 2317 MHz
2026/08/15 02:28:06.233, 97 %, 87397 MiB, 306.87 W, 45, 2422 MHz
2026/08/15 02:28:11.234, 97 %, 87397 MiB, 303.30 W, 46, 2422 MHz
2026/08/15 02:28:16.234, 97 %, 87541 MiB, 308.46 W, 47, 2422 MHz
2026/08/15 02:28:21.235, 97 %, 87541 MiB, 308.79 W, 47, 2422 MHz
2026/08/15 02:28:26.235, 97 %, 87541 MiB, 309.67 W, 48, 2422 MHz
2026/08/15 02:28:31.236, 97 %, 87541 MiB, 306.99 W, 48, 2422 MHz
2026/08/15 02:28:36.236, 96 %, 87541 MiB, 310.70 W, 49, 2422 MHz
2026/08/15 02:28:41.237, 97 %, 87541 MiB, 311.14 W, 49, 2422 MHz
2026/08/15 02:28:46.237, 97 %, 87541 MiB, 311.30 W, 49, 2422 MHz
2026/08/15 02:28:51.238, 97 %, 87541 MiB, 311.79 W, 50, 2422 MHz
2026/08/15 02:28:56.238, 97 %, 87541 MiB, 311.76 W, 50, 2422 MHz
2026/08/15 02:29:01.239, 97 %, 87541 MiB, 312.10 W, 50, 2422 MHz
2026/08/15 02:29:06.239, 97 %, 87541 MiB, 312.51 W, 50, 2422 MHz
2026/08/15 02:29:11.239, 96 %, 87541 MiB, 311.75 W, 50, 2422 MHz
2026/08/15 02:29:16.240, 97 %, 87541 MiB, 307.01 W, 50, 2422 MHz
2026/08/15 02:29:21.240, 84 %, 89705 MiB, 300.91 W, 51, 2422 MHz
2026/08/15 02:29:26.241, 98 %, 89705 MiB, 388.73 W, 54, 2422 MHz
2026/08/15 02:29:31.241, 98 %, 89705 MiB, 388.74 W, 54, 2422 MHz
2026/08/15 02:29:36.242, 95 %, 89705 MiB, 389.18 W, 55, 2415 MHz
2026/08/15 02:29:41.242, 98 %, 91145 MiB, 456.28 W, 58, 2400 MHz
2026/08/15 02:29:46.243, 98 %, 91145 MiB, 446.77 W, 59, 2400 MHz
2026/08/15 02:29:51.243, 99 %, 92729 MiB, 460.02 W, 60, 2400 MHz
2026/08/15 02:29:56.244, 80 %, 92729 MiB, 421.94 W, 60, 2400 MHz
2026/08/15 02:30:01.244, 97 %, 92729 MiB, 390.12 W, 58, 2422 MHz
2026/08/15 02:30:06.245, 0 %, 1699 MiB, 86.15 W, 49, 2430 MHz
2026/08/15 02:30:11.245, 0 %, 0 MiB, 51.14 W, 46, 457 MHz
2026/08/15 02:30:16.245, 0 %, 0 MiB, 32.94 W, 43, 180 MHz
2026/08/15 02:30:21.246, 0 %, 3 MiB, 33.96 W, 41, 180 MHz
2026/08/15 02:30:26.247, 0 %, 3 MiB, 33.19 W, 39, 180 MHz
2026/08/15 02:30:31.247, 0 %, 1583 MiB, 87.41 W, 39, 2340 MHz
2026/08/15 02:30:36.248, 0 %, 9435 MiB, 88.99 W, 39, 2332 MHz
2026/08/15 02:30:41.248, 13 %, 31451 MiB, 90.30 W, 38, 2340 MHz
2026/08/15 02:30:46.249, 14 %, 85309 MiB, 324.35 W, 43, 2340 MHz
2026/08/15 02:30:51.249, 32 %, 85541 MiB, 190.65 W, 43, 2302 MHz
2026/08/15 02:30:56.250, 14 %, 85781 MiB, 122.48 W, 40, 2325 MHz
2026/08/15 02:31:01.250, 36 %, 86013 MiB, 155.11 W, 41, 2317 MHz
2026/08/15 02:31:06.250, 0 %, 87171 MiB, 87.38 W, 39, 2340 MHz
2026/08/15 02:31:11.251, 97 %, 87541 MiB, 311.48 W, 44, 2422 MHz
2026/08/15 02:31:16.252, 97 %, 87541 MiB, 311.64 W, 45, 2422 MHz
2026/08/15 02:31:21.252, 97 %, 87685 MiB, 310.07 W, 46, 2422 MHz
2026/08/15 02:31:26.253, 97 %, 87685 MiB, 310.49 W, 47, 2422 MHz
2026/08/15 02:31:31.253, 97 %, 87685 MiB, 308.94 W, 48, 2422 MHz
2026/08/15 02:31:36.254, 97 %, 87685 MiB, 312.17 W, 48, 2422 MHz
2026/08/15 02:31:41.254, 97 %, 87685 MiB, 312.24 W, 49, 2422 MHz
2026/08/15 02:31:46.255, 97 %, 87685 MiB, 312.84 W, 49, 2422 MHz
2026/08/15 02:31:51.255, 97 %, 87685 MiB, 312.95 W, 49, 2422 MHz
2026/08/15 02:31:56.256, 97 %, 87685 MiB, 330.06 W, 50, 2422 MHz
2026/08/15 02:32:01.256, 97 %, 87685 MiB, 313.89 W, 50, 2422 MHz
2026/08/15 02:32:06.256, 97 %, 87685 MiB, 314.12 W, 50, 2422 MHz
2026/08/15 02:32:11.257, 97 %, 87685 MiB, 314.55 W, 50, 2422 MHz
2026/08/15 02:32:16.257, 97 %, 87685 MiB, 314.60 W, 50, 2422 MHz
2026/08/15 02:32:21.258, 97 %, 87685 MiB, 314.48 W, 50, 2422 MHz
2026/08/15 02:32:26.258, 97 %, 87685 MiB, 314.75 W, 51, 2422 MHz
2026/08/15 02:32:31.259, 98 %, 89847 MiB, 425.73 W, 55, 2407 MHz
2026/08/15 02:32:36.259, 98 %, 89847 MiB, 428.41 W, 57, 2407 MHz
2026/08/15 02:32:41.260, 98 %, 89847 MiB, 429.04 W, 56, 2407 MHz
2026/08/15 02:32:46.260, 89 %, 89847 MiB, 400.85 W, 55, 2422 MHz
2026/08/15 02:32:51.261, 97 %, 91431 MiB, 452.65 W, 58, 2400 MHz
2026/08/15 02:32:56.261, 98 %, 91431 MiB, 445.75 W, 59, 2400 MHz
2026/08/15 02:33:01.262, 98 %, 93159 MiB, 458.26 W, 59, 2400 MHz
2026/08/15 02:33:06.263, 82 %, 93159 MiB, 437.24 W, 59, 2407 MHz
2026/08/15 02:33:11.263, 98 %, 93159 MiB, 434.14 W, 60, 2407 MHz
2026/08/15 02:33:16.264, 0 %, 1699 MiB, 89.93 W, 51, 2430 MHz
2026/08/15 02:33:21.264, 0 %, 0 MiB, 86.53 W, 48, 2422 MHz
2026/08/15 02:33:26.265, 0 %, 0 MiB, 51.65 W, 44, 180 MHz
